year,member,member_id,chamber,party,source,source_url
2026,Bill Wiley,H0329,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0329
2026,Rodney T. Willett,H0327,House,D,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0327
2026,Wren M. Williams,H0348,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0348
2026,Tony O. Wilt,H0231,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0231
2026,"Thomas C. Wright, Jr.",H0136,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0136
2026,Scott A. Wyatt,H0328,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0328
2026,Eric R. Zehr,H0383,House,R,Virginia House of Delegates,https://house.vga.virginia.gov/members/H0383
2026,Lashrecse D. Aird,S0115,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S115
2026,Lamont Bagby,S0114,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S114
2026,Elizabeth B. Bennett-Parker,S0135,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S135
2026,Jennifer B. Boysko,S0106,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S106
2026,Jennifer D. Carroll Foy,S0117,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S117
2026,"Luther Cifers, III",S0132,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S132
2026,Christie New Craig,S0118,Senate,R,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S118
2026,R. Creigh Deeds,S0062,Senate,D,Virginia Senate,https://apps.senate.virginia.gov/Senator/memberpage.php?id=S62
