member_id,MBR_NAME,party,topic_name,topic_vote_events,eligible_topic_events,party_break_events,cross_party_events,cross_party_pct
H0401,Madison Whittle,R,Criminal Justice,234,227,13,5,2.2026431718061676
H0357,Will Davis,R,Criminal Justice,233,231,5,5,2.1645021645021645
H0354,Katrina Callsen,D,Criminal Justice,242,235,7,5,2.127659574468085
H0366,Phil M. Hernandez,D,Criminal Justice,240,236,7,5,2.11864406779661
H0362,"Thomas A. Garrett, Jr.",R,Unclassified,411,372,63,5,1.3440860215053763
H0336,Nadarius E. Clark,D,Unclassified,520,381,6,5,1.3123359580052494
H0382,Joshua E. Thomas,D,Unclassified,496,493,7,5,1.0141987829614605
H0340,Michelle Lopes Maldonado,D,Unclassified,538,531,8,5,0.9416195856873822
H0267,"Robert S. Bloxom, Jr.",R,Domestic Relations,4,4,4,4,100.0
H0267,"Robert S. Bloxom, Jr.",R,Uncodified Legislation,8,8,4,4,50.0
H0335,Mike A. Cherry,R,Elections,9,8,4,4,50.0
H0390,Mitchell Cornett,R,Data Centers,15,15,4,4,26.666666666666668
H0335,Mike A. Cherry,R,Data Centers,16,16,4,4,25.0
H0308,Joseph P. McNamara,R,Marriage and Domestic Relations,19,19,4,4,21.052631578947366
H0345,Anne Ferrell Tata,R,Data Centers,20,19,4,4,21.052631578947366
H0369,Hillary Pugh Kent,R,Data Centers,21,21,5,4,19.047619047619047
H0321,Chris S. Runion,R,Agriculture and Food,26,26,4,4,15.384615384615385
H0056,Terry G. Kilgore,R,Technology and Data,29,27,4,4,14.814814814814813
H0354,Katrina Callsen,D,Technology and Data,28,27,6,4,14.814814814814813
H0224,James W. Morefield,R,Agriculture and Food,31,31,4,4,12.903225806451612
H0267,"Robert S. Bloxom, Jr.",R,Economic Development,32,32,4,4,12.5
H0398,Justin Pence,R,Technology and Data,34,34,5,4,11.76470588235294
H0259,"Hyland F. ""Buddy"" Fowler, Jr.",R,Higher Education,36,35,5,4,11.428571428571429
H0393,Lily V. Franklin,D,Higher Education,36,36,4,4,11.11111111111111
H0355,Laura Jane Cohen,D,Taxes and Revenue,52,45,4,4,8.88888888888889
H0383,Eric R. Zehr,R,Taxes and Revenue,49,49,11,4,8.16326530612245
H0239,Alfonso H. Lopez,D,Taxes and Revenue,51,50,4,4,8.0
H0347,"H. Otto Wachsmann, Jr.",R,Environment and Conservation,50,50,4,4,8.0
H0308,Joseph P. McNamara,R,Family and Children,53,51,6,4,7.8431372549019605
H0384,Eric Phillips,R,Family and Children,52,51,5,4,7.8431372549019605
H0401,Madison Whittle,R,Taxes and Revenue,51,51,7,4,7.8431372549019605
H0262,"James A. ""Jay"" Leftwich",R,Taxes and Revenue,53,52,6,4,7.6923076923076925
H0335,Mike A. Cherry,R,Environment and Conservation,53,53,4,4,7.547169811320755
H0399,Kimberly Pope Adams,D,Family and Children,54,54,4,4,7.4074074074074066
H0219,Patrick A. Hope,D,Taxes and Revenue,55,55,4,4,7.2727272727272725
H0224,James W. Morefield,R,Behavioral Health,55,55,4,4,7.2727272727272725
H0227,Luke E. Torian,D,Taxes and Revenue,67,55,7,4,7.2727272727272725
H0395,John Chilton McAuliff,D,Courts and Civil Law,66,55,4,4,7.2727272727272725
H0393,Lily V. Franklin,D,Insurance,58,58,4,4,6.896551724137931
H0308,Joseph P. McNamara,R,"Study Commissions, Committees, and Reports",60,59,4,4,6.779661016949152
H0347,"H. Otto Wachsmann, Jr.",R,Public Safety,59,59,7,4,6.779661016949152
H0401,Madison Whittle,R,Behavioral Health,60,59,6,4,6.779661016949152
H0056,Terry G. Kilgore,R,Environment and Conservation,61,60,4,4,6.666666666666667
H0224,James W. Morefield,R,Environment and Conservation,61,60,5,4,6.666666666666667
H0345,Anne Ferrell Tata,R,Insurance,60,60,6,4,6.666666666666667
H0375,Adele Y. McClure,D,Taxes and Revenue,62,61,4,4,6.557377049180328
H0335,Mike A. Cherry,R,Public Safety,62,62,4,4,6.451612903225806
H0343,Briana D. Sewell,D,Taxes and Revenue,63,62,5,4,6.451612903225806
H0350,Ellen H. McLaughlin,R,Environment and Conservation,63,63,4,4,6.349206349206349
H0388,Stacey Annie Carroll,D,Firearms,75,64,5,4,6.25
H0262,"James A. ""Jay"" Leftwich",R,Business and Commerce,66,65,5,4,6.153846153846154
