member_id,MBR_NAME,party,member_status,comparable_sample,directional_votes_2025,directional_votes_2026,eligible_cross_party_votes_2025,eligible_cross_party_votes_2026,cross_party_votes_2025,cross_party_votes_2026,cross_party_vote_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_breaks_2025,party_breaks_2026,party_break_change,party_break_pct_2025,party_break_pct_2026,party_break_pct_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0207,Delores L. McQuinn,D,Present both years,True,1359.0,2195.0,1349.0,2186.0,4.0,2.0,-2.0,0.2965159377316531,0.091491308325709,-0.20502462940594407,5.0,3.0,-2.0,0.3679175864606328,0.1366742596810934,-0.23124332677953938,Delores L. McQuinn,Delores L. McQuinn,D,D
H0295,Kelly K. Convirs-Fowler,D,Present both years,True,1447.0,1882.0,1427.0,1865.0,7.0,5.0,-2.0,0.4905395935529082,0.2680965147453083,-0.2224430788075999,14.0,10.0,-4.0,0.9675190048375952,0.5313496280552604,-0.4361693767823348,Kelly K. Convirs-Fowler,Kelly K. Convirs-Fowler,D,D
H0328,Scott A. Wyatt,R,Present both years,True,1476.0,2186.0,1472.0,2175.0,34.0,45.0,11.0,2.309782608695652,2.0689655172413794,-0.24081709145427244,70.0,95.0,25.0,4.742547425474255,4.34583714547118,-0.3967102800030746,Scott A. Wyatt,Scott A. Wyatt,R,R
H0108,Vivian E. Watts,D,Present both years,True,1604.0,2134.0,1597.0,2120.0,7.0,4.0,-3.0,0.4383218534752661,0.1886792452830188,-0.2496426081922473,12.0,15.0,3.0,0.7481296758104738,0.7029053420805998,-0.045224333729874,Vivian E. Watts,Vivian E. Watts,D,D
H0285,"C.E. Cliff Hayes, Jr.",D,Present both years,True,1472.0,2373.0,1469.0,2359.0,4.0,0.0,-4.0,0.2722940776038121,0.0,-0.2722940776038121,5.0,4.0,-1.0,0.3396739130434782,0.1685630004214075,-0.1711109126220707,"C.E. Cliff Hayes, Jr.","C.E. Cliff Hayes, Jr.",D,D
H0294,Karrie K. Delaney,D,Present both years,True,1619.0,2194.0,1608.0,2179.0,8.0,4.0,-4.0,0.4975124378109453,0.1835704451583295,-0.3139419926526158,10.0,9.0,-1.0,0.6176652254478072,0.4102096627164995,-0.20745556273130772,Karrie K. Delaney,Karrie K. Delaney,D,D
H0342,Phillip A. Scott,R,Present both years,True,1466.0,1992.0,1452.0,1978.0,8.0,3.0,-5.0,0.5509641873278237,0.1516683518705763,-0.3992958354572474,197.0,334.0,137.0,13.437926330150068,16.76706827309237,3.329141942942302,Phillip A. Scott,Phillip A. Scott,R,R
H0264,Marcus B. Simon,D,Present both years,True,1701.0,2273.0,1690.0,2259.0,12.0,7.0,-5.0,0.7100591715976331,0.3098716246126605,-0.4001875469849726,46.0,35.0,-11.0,2.704291593180482,1.5398152221733392,-1.1644763710071429,Marcus B. Simon,Marcus B. Simon,D,D
H0361,Debra D. Gardner,D,Present both years,True,1487.0,2014.0,1481.0,1988.0,7.0,1.0,-6.0,0.4726536124240378,0.0503018108651911,-0.4223518015588467,12.0,2.0,-10.0,0.8069939475453934,0.0993048659384309,-0.7076890816069625,Debra D. Gardner,Debra D. Gardner,D,D
H0322,Don Scott,D,Present both years,True,1176.0,1667.0,1174.0,1664.0,5.0,0.0,-5.0,0.4258943781942078,0.0,-0.4258943781942078,7.0,1.0,-6.0,0.5952380952380952,0.05998800239952,-0.5352500928385753,Don Scott,Don Scott,D,D
H0345,Anne Ferrell Tata,R,Present both years,True,1609.0,1996.0,1594.0,1985.0,96.0,111.0,15.0,6.022584692597239,5.591939546599496,-0.43064514599774295,101.0,142.0,41.0,6.277190801740211,7.114228456913827,0.8370376551736163,Anne Ferrell Tata,Anne Ferrell Tata,R,R
H0357,Will Davis,R,Present both years,True,1368.0,1964.0,1362.0,1956.0,34.0,38.0,4.0,2.4963289280469896,1.9427402862985683,-0.5535886417484213,49.0,65.0,16.0,3.5818713450292394,3.309572301425661,-0.2722990436035784,Will Davis,Will Davis,R,R
H0124,R. Lee Ware,R,Present both years,True,1265.0,1833.0,1255.0,1828.0,43.0,52.0,9.0,3.4262948207171315,2.844638949671773,-0.5816558710453585,98.0,96.0,-2.0,7.747035573122529,5.237315875613748,-2.509719697508781,R. Lee Ware,R. Lee Ware,R,R
H0369,Hillary Pugh Kent,R,Present both years,True,1206.0,1969.0,1200.0,1964.0,40.0,54.0,14.0,3.333333333333333,2.74949083503055,-0.5838424983027832,61.0,122.0,61.0,5.05804311774461,6.196038598273235,1.137995480528625,Hillary Pugh Kent,Hillary Pugh Kent,R,R
H0333,Jason S. Ballard,R,Present both years,True,1577.0,2334.0,1565.0,2315.0,45.0,41.0,-4.0,2.8753993610223643,1.7710583153347732,-1.104341045687591,63.0,75.0,12.0,3.994927076727965,3.2133676092544987,-0.7815594674734663,Jason S. Ballard,Jason S. Ballard,R,R
H0056,Terry G. Kilgore,R,Present both years,True,1538.0,2382.0,1524.0,2367.0,104.0,121.0,17.0,6.824146981627297,5.111956062526405,-1.712190919100892,134.0,157.0,23.0,8.712613784135241,6.591099916036944,-2.1215138680982975,Terry G. Kilgore,Terry G. Kilgore,R,R
H0177,David L. Bulova,D,Present both years,False,1579.0,13.0,1569.0,13.0,5.0,0.0,-5.0,0.3186743148502231,0.0,-0.3186743148502231,14.0,0.0,-14.0,0.8866371120962635,0.0,-0.8866371120962635,David L. Bulova,David L. Bulova,D,D
H0172,Mark D. Sickles,D,Present both years,False,1649.0,9.0,1644.0,9.0,6.0,0.0,-6.0,0.364963503649635,0.0,-0.364963503649635,14.0,0.0,-14.0,0.8489993935718617,0.0,-0.8489993935718617,Mark D. Sickles,Mark D. Sickles,D,D
H0330,Candi Mundon King,D,Present both years,False,1517.0,9.0,1493.0,9.0,15.0,0.0,-15.0,1.0046885465505693,0.0,-1.0046885465505693,38.0,0.0,-38.0,2.5049439683586026,0.0,-2.5049439683586026,Candi Mundon King,Candi Mundon King,D,D
H0206,Barry D. Knight,R,Present both years,False,434.0,0.0,431.0,0.0,11.0,0.0,-11.0,2.5522041763341066,0.0,-2.5522041763341066,23.0,0.0,-23.0,5.299539170506913,0.0,-5.299539170506913,Barry D. Knight,Barry D. Knight,R,R
H0315,Carrie E. Coyner,R,2025 only,False,1648.0,,1630.0,,211.0,,,12.94478527607362,,,223.0,,,13.531553398058252,,,Carrie E. Coyner,,R,
H0359,N. Baxter Ennis,R,2025 only,False,1471.0,,1456.0,,182.0,,,12.5,,,200.0,,,13.596193065941536,,,N. Baxter Ennis,,R,
