year,member_id,MBR_NAME,party,topic_name,classification,topic_vote_events,yes_votes,no_votes,directional_topic_votes,voting_tendency,yes_pct,no_pct
2026,H0335,Mike A. Cherry,R,Administration of Government,Official LIS subject,6,1,5,6,INSUFFICIENT DATA,16.666666666666664,83.33333333333334
2026,H0345,Anne Ferrell Tata,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0206,Barry D. Knight,R,Administration of Government,Official LIS subject,3,0,0,0,INSUFFICIENT DATA,0.0,0.0
2026,H0321,Chris S. Runion,R,Administration of Government,Official LIS subject,6,0,6,6,INSUFFICIENT DATA,0.0,100.0
2026,H0377,Delores Oates,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0383,Eric R. Zehr,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0369,Hillary Pugh Kent,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0262,"James A. ""Jay"" Leftwich",R,Administration of Government,Official LIS subject,6,0,6,6,INSUFFICIENT DATA,0.0,100.0
2026,H0308,Joseph P. McNamara,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0398,Justin Pence,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0394,Karen Hamilton,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0247,Michael J. Webert,R,Administration of Government,Official LIS subject,6,0,6,6,INSUFFICIENT DATA,0.0,100.0
2026,H0390,Mitchell Cornett,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0342,Phillip A. Scott,R,Administration of Government,Official LIS subject,6,0,6,6,INSUFFICIENT DATA,0.0,100.0
2026,H0328,Scott A. Wyatt,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0362,"Thomas A. Garrett, Jr.",R,Administration of Government,Official LIS subject,4,0,3,3,INSUFFICIENT DATA,0.0,100.0
2026,H0136,"Thomas C. Wright, Jr.",R,Administration of Government,Official LIS subject,4,0,3,3,INSUFFICIENT DATA,0.0,100.0
2026,H0364,Timothy P. Griffin,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0231,Tony O. Wilt,R,Administration of Government,Official LIS subject,7,0,7,7,INSUFFICIENT DATA,0.0,100.0
2026,H0325,Wendell S. Walker,R,Administration of Government,Official LIS subject,4,0,4,4,INSUFFICIENT DATA,0.0,100.0
2026,H0380,Atoosa R. Reaser,D,Agriculture and Food,Derived from LIS bill summary,10,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0353,Bonita G. Anthony,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0402,Charlie Schmidt,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0317,Dan I. Helmer,D,Agriculture and Food,Derived from LIS bill summary,10,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0361,Debra D. Gardner,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0372,Destiny LeVere Bolling,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0322,Don Scott,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0334,Elizabeth B. Bennett-Parker,D,Agriculture and Food,Derived from LIS bill description,9,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0334,Elizabeth B. Bennett-Parker,D,Agriculture and Food,Derived from LIS bill summary,7,7,0,7,INSUFFICIENT DATA,100.0,0.0
2026,H0297,Elizabeth R. Guzman,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0405,Garrett McGuire,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0403,Gretchen M. Bulova,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0351,Holly M. Seibold,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0344,Irene Shin,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0385,JJ Singh,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0173,Jeion A. Ward,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0386,Jessica L. Anderson,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0370,Karen Keys-Gamarra,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0387,"Karen R. ""Kacey"" Carnegie",D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0354,Katrina Callsen,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0295,Kelly K. Convirs-Fowler,D,Agriculture and Food,Derived from LIS bill summary,8,6,0,6,INSUFFICIENT DATA,100.0,0.0
2026,H0406,Kirk McPike,D,Agriculture and Food,Derived from LIS bill description,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0406,Kirk McPike,D,Agriculture and Food,Derived from LIS bill summary,1,1,0,1,INSUFFICIENT DATA,100.0,0.0
2026,H0355,Laura Jane Cohen,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
2026,H0396,Leslie Chambers Mehta,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0391,Lindsey Dougherty,D,Agriculture and Food,Derived from LIS bill summary,8,8,0,8,INSUFFICIENT DATA,100.0,0.0
2026,H0404,Margaret A. Franklin,D,Agriculture and Food,Derived from LIS bill summary,9,9,0,9,INSUFFICIENT DATA,100.0,0.0
