Bill_id,topic_name,classification,lis_subject_name,lis_parent_subject,source_file,source_text_used,rule_derived,matched_rule
SB812,Housing,Derived from LIS bill description,,,BILLS.CSV,"Virginia Residential Landlord & Tenant Act; landlord remedies, noncompliance with rental agreement.",True,\bresidential landlord\b
SB813,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Voter registration; regular periodic review of registration records.,True,\bvoters?\b
SB814,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Election of certain governing bodies; conversion to single-member districts.,True,\belections?\b
SB815,Housing,Derived from LIS bill description,,,BILLS.CSV,"Virginia Residential Landlord and Tenant Act; adverse action by landlord, tenant remedies.",True,\bresidential landlord\b
SB816,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Real property tax; exemption for elderly and disabled individuals.,True,\bproperty tax\b
SB818,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Children in foster care; federal benefits, written notice by certified mail, notice of eligibility.",True,\bfoster care\b
SB821,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,Nursing facilities; use of electronic monitoring devices in resident rooms.,True,\bnursing\b
SB822,Education,Derived from LIS bill description,,,BILLS.CSV,"Public elementary and secondary school teachers; non-academic training activities, requirements.",True,\bsecondary school\b
SB823,Energy and Utilities,Derived from LIS bill description,,,BILLS.CSV,Electric utilities; construction of renewable energy facilities.,True,\belectric utilit
SB827,Technology and Data,Derived from LIS bill description,,,BILLS.CSV,"Virginia Lottery; Internet gaming authorized, penalties.",True,\binternet\b
SB828,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; housing opportunity tax credit, sunset extended.",True,\bincome tax\b
SB829,Education,Derived from LIS bill description,,,BILLS.CSV,"Professionally Licensed Teacher Supplemental Pay Program; established, report.",True,\bteachers?\b
SB830,Housing,Derived from LIS bill description,,,BILLS.CSV,"Eviction Diversion Pilot Program; name change, expiration repealed.",True,\beviction\b
SB837,Firearms,Derived from LIS bill description,,,BILLS.CSV,Concealed handgun permits; minimum age requirement.,True,\bhandguns?\b
SB839,Business and Commerce,Derived from LIS bill description,,,BILLS.CSV,Zoning; by-right multifamily development in areas zoned for commercial use.,True,\bcommercial\b
SB840,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"Child labor; child engaged in the work of content creation, trust account.",True,\blabor\b
SB841,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,"Opioid treatment programs; dispensing, medications from mobile units.",True,\bopioids?\b
SB843,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Remote patient monitoring patients with chronic conditions, report.",True,\bpatients?\b
SB844,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Sex Offender & Crimes Against Minors Registry; registration intervals for Tier I &Tier II offenses.,True,\bcrimes?\b
SB844,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Sex Offender & Crimes Against Minors Registry; registration intervals for Tier I &Tier II offenses.,True,\bminors?\b
SB845,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Virginia taxable income; standard deduction; sunset.,True,\btaxable\b
SB846,Family and Children,Derived from LIS bill description,,,BILLS.CSV,Minor's records; access to records stored or accessible from a secure website.,True,\bminors?\b
SB847,Transportation,Derived from LIS bill description,,,BILLS.CSV,Reckless driving; improper driving as a lesser included offense.,True,\bdriving\b
SB847,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,Reckless driving; improper driving as a lesser included offense.,True,\boffenses?\b
SB848,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Firearms, certain; age requirement for purchase, penalty.",True,\bfirearms?\b
SB849,Firearms,Derived from LIS bill description,,,BILLS.CSV,Nonresident concealed handgun permits; time limit for issuance.,True,\bhandguns?\b
SB853,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,"Prevailing wage rate; apprenticeship requirements, RPS-eligible source work, penalties.",True,\bwages?\b
SB854,Family and Children,Derived from LIS bill description,,,BILLS.CSV,"Consumer Data Protection Act; social media platforms, addictive feed prohibited for minors.",True,\bminors?\b
SB855,Education,Derived from LIS bill description,,,BILLS.CSV,"SOL assessments & related student assessment methods; assessment development, etc., reform.",True,\bstudents?\b
SB856,Elections and Voting,Derived from LIS bill description,,,BILLS.CSV,Absentee voting in person; available beginning 14 days prior to election.,True,\belections?\b
SB859,Education,Derived from LIS bill description,,,BILLS.CSV,School boards; policies relating to volunteer student life counseling and support services.,True,\bschool boards?\b
SB860,Labor and Employment,Derived from LIS bill description,,,BILLS.CSV,Workers' compensation benefits; disorders induced by law-enforcement officers and firefighters.,True,\bworkers'? compensation\b
SB860,Public Safety,Derived from LIS bill description,,,BILLS.CSV,Workers' compensation benefits; disorders induced by law-enforcement officers and firefighters.,True,\blaw-enforcement officers?\b
SB865,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Income tax, state; subtractions of military benefits.",True,\bincome tax\b
SB870,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",True,\bmedical\b
SB870,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",True,\bmental health\b
SB870,Criminal Justice,Derived from LIS bill description,,,BILLS.CSV,"Behavioral health services; correctional facilities, exchange of medical/mental health information.",True,\bcorrectional\b
SB871,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,"Retail Sales and Use Tax; media-related exemptions, sunset.",True,\bsales and use tax\b
SB874,Taxes and Revenue,Derived from LIS bill description,,,BILLS.CSV,Local sales and use tax; Pulaski County authorized to levy additional taxes for school projects.,True,\bsales and use tax\b
SB875,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,State pharmacy benefits manager; DMAS to select & contract with a third-party administrator to serve,True,\bpharmacy\b
SB879,Education,Derived from LIS bill description,,,BILLS.CSV,"Teachers; career and technical education, alternative pathway to provisional licensure.",True,\bteachers?\b
SB880,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Assault firearms; carrying in public areas prohibited, penalty.",True,\bfirearms?\b
SB881,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Plastic firearms or receivers, unserialized firearms, etc.; transfer, etc., prohibited, penalties.",True,\bfirearms?\b
SB883,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Firearms; purchase, etc., assault and battery of family member or intimate partner, penalties.",True,\bfirearms?\b
SB884,Housing,Derived from LIS bill description,,,BILLS.CSV,Virginia Residential Landlord and Tenant Act; early termination of rental agreement.,True,\bresidential landlord\b
SB885,Behavioral Health,Derived from LIS bill description,,,BILLS.CSV,Office of the State Inspector General; behavioral health and developmental services; required reports.,True,\bbehavioral health\b
SB890,Agriculture and Food,Derived from LIS bill description,,,BILLS.CSV,Agricultural commodity boards; Agricultural Council; appointment and membership terms; production areas.,True,\bagricultur
SB891,Firearms,Derived from LIS bill description,,,BILLS.CSV,"Firearms; five day waiting period, penalty.",True,\bfirearms?\b
SB892,Health and Healthcare,Derived from LIS bill description,,,BILLS.CSV,"Medical malpractice; certification of expert witness, written opinion.",True,\bmedical\b
