member_id,MBR_NAME,party,Subject_Id,Subject_Name,subject_vote_events,eligible_subject_events,party_break_events,cross_party_events,cross_party_pct,party_break_pct
H0375,Adele Y. McClure,D,511,Affordable Housing,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,597,Children,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,785,Human Rights,2,2,0,0,0.0,0.0
H0375,Adele Y. McClure,D,871,Marriage,2,2,0,0,0.0,0.0
H0377,Delores Oates,R,1142,Wages,2,2,0,0,0.0,0.0
H0377,Delores Oates,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0377,Delores Oates,R,4,Administration of Government,2,2,0,0,0.0,0.0
H0377,Delores Oates,R,597,Children,2,2,0,0,0.0,0.0
H0377,Delores Oates,R,785,Human Rights,2,2,0,0,0.0,0.0
H0377,Delores Oates,R,871,Marriage,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,1142,Wages,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,125,Courts Not of Record,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,14460,Alcoholic Beverage and Cannabis Control,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,27,Arts and Humanities,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,445,Trade and Commerce,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,511,Affordable Housing,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,594,Child Care,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,721,Firearms,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,785,Human Rights,2,2,0,0,0.0,0.0
H0380,Atoosa R. Reaser,D,871,Marriage,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,1160,Workforce,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,18042,Wind Energy,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,299,Motor Vehicles,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,361,Public Service Companies,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,4,Administration of Government,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,594,Child Care,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,597,Children,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,785,Human Rights,2,2,0,0,0.0,0.0
H0382,Joshua E. Thomas,D,871,Marriage,2,2,0,0,0.0,0.0
H0383,Eric R. Zehr,R,1142,Wages,2,2,0,0,0.0,0.0
H0383,Eric R. Zehr,R,361,Public Service Companies,2,2,0,0,0.0,0.0
H0383,Eric R. Zehr,R,4,Administration of Government,2,2,0,0,0.0,0.0
H0383,Eric R. Zehr,R,594,Child Care,2,2,2,0,0.0,100.0
H0383,Eric R. Zehr,R,597,Children,2,2,0,0,0.0,0.0
H0383,Eric R. Zehr,R,785,Human Rights,2,2,0,0,0.0,0.0
H0383,Eric R. Zehr,R,871,Marriage,2,2,0,0,0.0,0.0
