member_id,MBR_NAME,party,topic_name,classification,topic_status,comparable_topic_sample,robust_topic_sample,topic_vote_events_2025,topic_vote_events_2026,eligible_topic_events_2025,eligible_topic_events_2026,eligible_topic_event_change,cross_party_events_2025,cross_party_events_2026,cross_party_event_change,cross_party_pct_2025,cross_party_pct_2026,cross_party_pct_change,party_break_events_2025,party_break_events_2026,party_break_event_change,MBR_NAME_2025,MBR_NAME_2026,party_2025,party_2026
H0385,JJ Singh,D,Labor and Employment,Derived from LIS bill description,Present both years,True,True,74.0,149.0,73.0,147.0,74.0,0.0,3.0,3.0,0.0,2.0408163265306123,2.0408163265306123,0.0,3.0,3.0,JJ Singh,JJ Singh,D,D
H0366,Phil M. Hernandez,D,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,98.0,100.0,97.0,98.0,1.0,1.0,3.0,2.0,1.0309278350515465,3.061224489795918,2.0302966547443715,3.0,4.0,1.0,Phil M. Hernandez,Phil M. Hernandez,D,D
H0329,Bill Wiley,R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,93.0,150.0,92.0,148.0,56.0,0.0,3.0,3.0,0.0,2.027027027027027,2.027027027027027,0.0,5.0,5.0,Bill Wiley,Bill Wiley,R,R
H0247,Michael J. Webert,R,Education,Derived from LIS bill description,Present both years,True,True,138.0,156.0,132.0,148.0,16.0,1.0,4.0,3.0,0.7575757575757576,2.702702702702702,1.9451269451269446,11.0,12.0,1.0,Michael J. Webert,Michael J. Webert,R,R
H0267,"Robert S. Bloxom, Jr.",R,Labor and Employment,Derived from LIS bill description,Present both years,True,True,96.0,150.0,95.0,147.0,52.0,4.0,9.0,5.0,4.2105263157894735,6.122448979591836,1.911922663802363,6.0,11.0,5.0,"Robert S. Bloxom, Jr.","Robert S. Bloxom, Jr.",R,R
H0334,Elizabeth B. Bennett-Parker,D,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,112.0,66.0,108.0,53.0,-55.0,0.0,1.0,1.0,0.0,1.8867924528301887,1.8867924528301887,2.0,1.0,-1.0,Elizabeth B. Bennett-Parker,Elizabeth B. Bennett-Parker,D,D
H0317,Dan I. Helmer,D,Transportation,Derived from LIS bill description,Present both years,True,True,51.0,111.0,51.0,109.0,58.0,0.0,2.0,2.0,0.0,1.834862385321101,1.834862385321101,0.0,3.0,3.0,Dan I. Helmer,Dan I. Helmer,D,D
H0348,Wren M. Williams,R,Transportation,Derived from LIS bill description,Present both years,True,True,98.0,142.0,92.0,125.0,33.0,2.0,5.0,3.0,2.1739130434782608,4.0,1.8260869565217392,4.0,12.0,8.0,Wren M. Williams,Wren M. Williams,R,R
H0353,Bonita G. Anthony,D,Taxes and Revenue,Derived from LIS bill description,Present both years,True,True,107.0,119.0,104.0,110.0,6.0,0.0,2.0,2.0,0.0,1.818181818181818,1.818181818181818,0.0,2.0,2.0,Bonita G. Anthony,Bonita G. Anthony,D,D
H0056,Terry G. Kilgore,R,Family and Children,Derived from LIS bill description,Present both years,True,True,67.0,62.0,64.0,61.0,-3.0,2.0,3.0,1.0,3.125,4.918032786885246,1.793032786885246,3.0,5.0,2.0,Terry G. Kilgore,Terry G. Kilgore,R,R
